backbone,model_name,cell_id,order_name,task_sequence,seed,method,budget,status,total_wall_time_seconds,resumed
BERT-base,bert-base-uncased,cell_041_O1_seed587_no_replay_b0,O1,sst2/mrpc/rte/ag_news,587,no_replay,0,PASS,12.111674308776855,False
BERT-base,bert-base-uncased,cell_042_O1_seed587_random_replay_b16,O1,sst2/mrpc/rte/ag_news,587,random_replay,16,PASS,12.376586675643921,False
BERT-base,bert-base-uncased,cell_043_O1_seed587_random_replay_b64,O1,sst2/mrpc/rte/ag_news,587,random_replay,64,PASS,15.111507892608643,False
BERT-base,bert-base-uncased,cell_044_O1_seed587_random_replay_b256,O1,sst2/mrpc/rte/ag_news,587,random_replay,256,PASS,16.200284957885742,False
BERT-base,bert-base-uncased,cell_045_O1_seed587_class_balanced_replay_b16,O1,sst2/mrpc/rte/ag_news,587,class_balanced_replay,16,PASS,15.845043182373047,False
BERT-base,bert-base-uncased,cell_046_O1_seed587_class_balanced_replay_b64,O1,sst2/mrpc/rte/ag_news,587,class_balanced_replay,64,PASS,13.591852188110352,False
BERT-base,bert-base-uncased,cell_047_O1_seed587_class_balanced_replay_b256,O1,sst2/mrpc/rte/ag_news,587,class_balanced_replay,256,PASS,19.060895204544067,False
BERT-base,bert-base-uncased,cell_048_O1_seed587_hard_example_replay_b16,O1,sst2/mrpc/rte/ag_news,587,hard_example_replay,16,PASS,15.0237877368927,False
BERT-base,bert-base-uncased,cell_049_O1_seed587_hard_example_replay_b64,O1,sst2/mrpc/rte/ag_news,587,hard_example_replay,64,PASS,18.638710498809814,False
BERT-base,bert-base-uncased,cell_050_O1_seed587_hard_example_replay_b256,O1,sst2/mrpc/rte/ag_news,587,hard_example_replay,256,PASS,18.567680597305298,False
BERT-base,bert-base-uncased,cell_051_O2_seed113_no_replay_b0,O2,ag_news/rte/mrpc/sst2,113,no_replay,0,PASS,15.146874904632568,False
BERT-base,bert-base-uncased,cell_052_O2_seed113_random_replay_b16,O2,ag_news/rte/mrpc/sst2,113,random_replay,16,PASS,13.225531339645386,False
BERT-base,bert-base-uncased,cell_053_O2_seed113_random_replay_b64,O2,ag_news/rte/mrpc/sst2,113,random_replay,64,PASS,15.360682487487793,False
BERT-base,bert-base-uncased,cell_054_O2_seed113_random_replay_b256,O2,ag_news/rte/mrpc/sst2,113,random_replay,256,PASS,19.729251861572266,False
BERT-base,bert-base-uncased,cell_055_O2_seed113_class_balanced_replay_b16,O2,ag_news/rte/mrpc/sst2,113,class_balanced_replay,16,PASS,12.688597917556763,False
BERT-base,bert-base-uncased,cell_056_O2_seed113_class_balanced_replay_b64,O2,ag_news/rte/mrpc/sst2,113,class_balanced_replay,64,PASS,15.909154415130615,False
BERT-base,bert-base-uncased,cell_057_O2_seed113_class_balanced_replay_b256,O2,ag_news/rte/mrpc/sst2,113,class_balanced_replay,256,PASS,15.96250057220459,False
BERT-base,bert-base-uncased,cell_058_O2_seed113_hard_example_replay_b16,O2,ag_news/rte/mrpc/sst2,113,hard_example_replay,16,PASS,17.650838613510132,False
BERT-base,bert-base-uncased,cell_059_O2_seed113_hard_example_replay_b64,O2,ag_news/rte/mrpc/sst2,113,hard_example_replay,64,PASS,15.445125102996826,False
BERT-base,bert-base-uncased,cell_060_O2_seed113_hard_example_replay_b256,O2,ag_news/rte/mrpc/sst2,113,hard_example_replay,256,PASS,21.38192057609558,False
BERT-base,bert-base-uncased,cell_061_O2_seed227_no_replay_b0,O2,ag_news/rte/mrpc/sst2,227,no_replay,0,PASS,11.915678262710571,False
BERT-base,bert-base-uncased,cell_062_O2_seed227_random_replay_b16,O2,ag_news/rte/mrpc/sst2,227,random_replay,16,PASS,15.169234275817871,False
BERT-base,bert-base-uncased,cell_063_O2_seed227_random_replay_b64,O2,ag_news/rte/mrpc/sst2,227,random_replay,64,PASS,13.233900547027588,False
